Island		quadrat	plot	X.isl	Y.isl	X.quad	Y.quad	Dist.mainland
8		E	4	-80.3627289	43.37082544	-80.36271316	43.37089354	224.8
9		A	1	-80.36159192	43.37236722	-80.36159006	43.37235199	83.2
9		A	2	-80.36159192	43.37236722	-80.36159006	43.37235199	83.2
9		A	3	-80.36159192	43.37236722	-80.36159006	43.37235199	83.2
9		A	4	-80.36159192	43.37236722	-80.36159006	43.37235199	83.2
9		D	1	-80.36159192	43.37236722	-80.36156041	43.372353	83.2
9		D	2	-80.36159192	43.37236722	-80.36156041	43.372353	83.2
9		D	3	-80.36159192	43.37236722	-80.36156041	43.372353	83.2
9		D	4	-80.36159192	43.37236722	-80.36156041	43.372353	83.2
10		A	1	-80.36121705	43.37154767	-80.36116662	43.37149415	177.23
10		A	2	-80.36121705	43.37154767	-80.36116662	43.37149415	177.23
10		A	3	-80.36121705	43.37154767	-80.36116662	43.37149415	177.23
10		A	4	-80.36121705	43.37154767	-80.36116662	43.37149415	177.23
10		B	1	-80.36121705	43.37154767	-80.36111805	43.37151392	177.23
10		B	2	-80.36121705	43.37154767	-80.36111805	43.37151392	177.23
10		B	3	-80.36121705	43.37154767	-80.36111805	43.37151392	177.23
10		B	4	-80.36121705	43.37154767	-80.36111805	43.37151392	177.23
10		C	1	-80.36121705	43.37154767	-80.36136288	43.37159015	177.23
10		C	2	-80.36121705	43.37154767	-80.36136288	43.37159015	177.23
10		C	3	-80.36121705	43.37154767	-80.36136288	43.37159015	177.23
10		C	4	-80.36121705	43.37154767	-80.36136288	43.37159015	177.23
10		D	1	-80.36121705	43.37154767	-80.36121304	43.37153331	177.23
10		D	2	-80.36121705	43.37154767	-80.36121304	43.37153331	177.23
10		D	3	-80.36121705	43.37154767	-80.36121304	43.37153331	177.23
10		D	4	-80.36121705	43.37154767	-80.36121304	43.37153331	177.23
10		E	1	-80.36121705	43.37154767	-80.36117161	43.37159757	177.23
10		E	2	-80.36121705	43.37154767	-80.36117161	43.37159757	177.23
10		E	3	-80.36121705	43.37154767	-80.36117161	43.37159757	177.23
10		E	4	-80.36121705	43.37154767	-80.36117161	43.37159757	177.23
11		A	1	-80.36041594	43.37295969	-80.36035913	43.37290853	30.71
11		A	2	-80.36041594	43.37295969	-80.36035913	43.37290853	30.71
11		A	3	-80.36041594	43.37295969	-80.36035913	43.37290853	30.71
11		A	4	-80.36041594	43.37295969	-80.36035913	43.37290853	30.71
11		B	1	-80.36041594	43.37295969	-80.36035119	43.37295769	30.71
11		B	2	-80.36041594	43.37295969	-80.36035119	43.37295769	30.71
11		B	3	-80.36041594	43.37295969	-80.36035119	43.37295769	30.71
11		B	4	-80.36041594	43.37295969	-80.36035119	43.37295769	30.71
11		D	1	-80.36041594	43.37295969	-80.36036896	43.3729372	30.71
11		D	2	-80.36041594	43.37295969	-80.36036896	43.3729372	30.71
11		D	3	-80.36041594	43.37295969	-80.36036896	43.3729372	30.71
11		D	4	-80.36041594	43.37295969	-80.36036896	43.3729372	30.71
12		A	1	-80.36025481	43.37275673	-80.36025116	43.37272997	57.45
12		A	2	-80.36025481	43.37275673	-80.36025116	43.37272997	57.45
12		A	3	-80.36025481	43.37275673	-80.36025116	43.37272997	57.45
12		A	4	-80.36025481	43.37275673	-80.36025116	43.37272997	57.45
12		D	1	-80.36025481	43.37275673	-80.36023005	43.37272804	57.45
12		D	2	-80.36025481	43.37275673	-80.36023005	43.37272804	57.45
12		D	3	-80.36025481	43.37275673	-80.36023005	43.37272804	57.45
12		D	4	-80.36025481	43.37275673	-80.36023005	43.37272804	57.45
13		A	1	-80.36021082	43.37068649	-80.36010108	43.37061589	284.55
13		A	2	-80.36021082	43.37068649	-80.36010108	43.37061589	284.55
13		A	3	-80.36021082	43.37068649	-80.36010108	43.37061589	284.55
13		A	4	-80.36021082	43.37068649	-80.36010108	43.37061589	284.55
13		B	1	-80.36021082	43.37068649	-80.360212	43.37064852	284.55
13		B	2	-80.36021082	43.37068649	-80.360212	43.37064852	284.55
13		B	3	-80.36021082	43.37068649	-80.360212	43.37064852	284.55
13		B	4	-80.36021082	43.37068649	-80.360212	43.37064852	284.55
13		C	1	-80.36021082	43.37068649	-80.36017703	43.37060604	284.55
13		C	2	-80.36021082	43.37068649	-80.36017703	43.37060604	284.55
